name,SMILES
AMD,N
OMe,CO
OPr,CCCOC(=O)CCC(=O)C
TA,CCC(C)C1C(=C(C(=O)N1)C(=O)C)O
NME,CN
EN,C(CN)N
C14H29-NH2,CCCCCCCCCCCCCCN
ETA,C(CO)N
C16,CCCCCCCCCCCCCCCC(=O)O
DAP,NC(C)(C)N
AM,CC(=O)N
Sprd,C(CCNCCCN)CN
DiMIQ,CC1=C2C3=CC=CC=C3N=C2N(C4=CC=C(N)C=C14)C
C3H7-NH2,CCCN
BY,null
AMAE,NC(CN(CCO)C)C
NH-NH2,NN
C12H25-NH2,CCCCCCCCCCCCN
C16H33-NH2,CCCCCCCCCCCCCCCCN
C18H37-NH2,CCCCCCCCCCCCCCCCCCN
C20H41-NH2,CCCCCCCCCCCCCCCCCCCCN
C6H13-N-C6H13,CCCCCCNCCCCCC
C6H13-N-C8H17,CCCCCCNCCCCCCCC
C8H17-N-C8H17,CCCCCCCCNCCCCCCCC
C8H17-N-C10H21,CCCCCCCCCCNCCCCCCCC
C10H21-N-C10H21,CCCCCCCCCCNCCCCCCCCCC
MEA,C(CS)N
OBzl,C1CN(CC2=C1C(=C(S2)N)C(=O)N)C(=O)OCC3=CC=CC=C3
C6-NH2,CCCCCC(=O)N
PEG4-C16,C(CCCCCCCCCCCCCCC)(=O)OCCOCCOCCOCCO
PEG4-Chol,OCCOCCOCCOCCO[C@@H]1CC2=CC[C@H]3[C@@H]4CC[C@H]([C@@H](CCCC(C)C)C)[C@]4(CC[C@@H]3[C@]2(CC1)C)C
Chol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
PEG8-Chol,OCCOCCOCCOCCOCCOCCOCCOCCO[C@@H]1CC2=CC[C@H]3[C@@H]4CC[C@H]([C@@H](CCCC(C)C)C)[C@]4(CC[C@@H]3[C@]2(CC1)C)C
PEG12-Chol,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[C@@H]1CC2=CC[C@H]3[C@@H]4CC[C@H]([C@@H](CCCC(C)C)C)[C@]4(CC[C@@H]3[C@]2(CC1)C)C
PEG24-Chol,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[C@@H]1CC2=CC[C@H]3[C@@H]4CC[C@H]([C@@H](CCCC(C)C)C)[C@]4(CC[C@@H]3[C@]2(CC1)C)C
C16-NH2,CCCCCCCCCCCCCCCC(=O)N
Am-Chol,NCC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
C4H9-NH2,CCCCN
C6H13-NH2,CCCCCCN
C8H17-NH2,CCCCCCCCN
C10H21-NH2,CCCCCCCCCCN
EthA,C#CC1=CC(=CC=C1)N
CMK,*CCl
OEt,CCO
"(E)2,8-2,6,8-Me-5,7-OH-C11",CC(C(=O)O)=CCC(C(C(C(=CCC)C)O)C)O
OVal,CC(C)C(C(=O)O)O
PEA,C1=CC=C(C=C1)CCN
(CH3)2N,C[N]C
NH2CN,C(#N)N
HPA,CC(CN)O
H2NPr-Glyol,OCCNCC(C)N
NHtBu,CC(C)(C)[NH-]
"(E)2-2,6-Me-5,7-OH-C10",CC(C(=O)O)=CCC(C(C(CCC)O)C)O
"(E)2,8-2,6,8-Me-5,7-OH-C10",CC(C(=O)O)=CCC(C(C(C(=CC)C)O)C)O
Spr,C(CCNCCCN)CNCCCN
